,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
186356,Introduction,2023-01-27,jour,45.0,300173.325,5057924.368,-73.559372,45.661196
186362,Vol de véhicule à moteur,2023-01-27,jour,23.0,300951.795994572,5045640.94000788,-73.549285,45.550671
186376,Vol de véhicule à moteur,2023-01-28,nuit,16.0,298835.31299298094,5035172.50000223,-73.576265,45.456457
187722,Vols qualifiés,2023-01-30,jour,22.0,300721.888,5043736.101,-73.552214,45.533529
187730,Vol de véhicule à moteur,2023-01-30,jour,7.0,289441.409,5041973.654,-73.696587,45.517513
187734,Méfait,2023-01-17,jour,48.0,301899.851007557,5050591.80200803,-73.537173,45.595225
187735,Méfait,2023-01-30,soir,26.0,293482.363992885,5039491.54199124,-73.644807,45.495255
187736,Vol dans / sur véhicule à moteur,2023-01-30,soir,39.0,295235.496992958,5053695.68299978,-73.622654,45.623095
187752,Introduction,2023-01-30,soir,49.0,305244.728000317,5054780.16899273,-73.494296,45.632919
187758,Vol de véhicule à moteur,2023-01-31,nuit,15.0,297898.335,5035493.967,-73.588249,45.459341
187761,Vol de véhicule à moteur,2023-01-31,nuit,27.0,291463.30000462494,5044993.29600711,-73.67079,45.544726
187762,Vol dans / sur véhicule à moteur,2023-01-17,soir,49.0,305629.962010101,5056169.5179952495,-73.489352,45.64542
187764,Méfait,2023-01-31,jour,5.0,283019.781,5038018.5,-73.778607,45.481752
187767,Méfait,2023-01-18,nuit,23.0,301541.302998157,5045511.12599158,-73.541734,45.549506
187909,Vol dans / sur véhicule à moteur,2023-01-18,jour,23.0,300929.26599396,5045571.70199442,-73.549573,45.550048
187932,Méfait,2023-01-31,jour,50.0,298042.337,5037496.564,-73.586436,45.477362
187940,Méfait,2023-01-31,jour,50.0,300757.711,5042597.38,-73.551746,45.523283
187941,Introduction,2023-01-31,jour,23.0,301131.987008072,5044641.60900215,-73.54697,45.541679
187942,Méfait,2023-01-31,jour,50.0,300757.711,5042597.38,-73.551746,45.523283
187944,Vol dans / sur véhicule à moteur,2023-01-18,jour,23.0,301365.28799228405,5045172.11999869,-73.543986,45.546454
187945,Vol de véhicule à moteur,2023-01-31,jour,38.0,299095.122006214,5041146.07000152,-73.573012,45.510212
187946,Méfait,2023-01-31,soir,23.0,301595.83999586693,5044864.79400048,-73.541032,45.54369
187947,Vols qualifiés,2023-01-31,soir,20.0,299298.311,5039389.895,-73.570392,45.49441
187948,Vol dans / sur véhicule à moteur,2023-01-31,soir,46.0,298177.500010567,5053020.49999818,-73.584917,45.617053
188075,Vols qualifiés,2023-01-31,soir,38.0,298087.298005908,5043466.08799921,-73.585942,45.531079
188076,Vol de véhicule à moteur,2023-01-31,soir,27.0,293371.538003499,5045159.01600139,-73.646357,45.546251
188088,Vol dans / sur véhicule à moteur,2023-01-19,jour,15.0,299143.217010411,5038399.35699968,-73.572365,45.485496
188098,Vol dans / sur véhicule à moteur,2023-01-21,jour,16.0,298519.375008061,5034205.50000851,-73.580292,45.447752
188099,Méfait,2023-01-21,soir,48.0,302729.427,5049772.047,-73.526536,45.587851
188100,Méfait,2023-01-22,nuit,48.0,301548.784993078,5047991.73100609,-73.541655,45.571827
188767,Introduction,2023-01-29,jour,38.0,299004.69599499,5043321.09099891,-73.574195,45.529783
188769,Vol dans / sur véhicule à moteur,2023-01-29,jour,22.0,299902.508993933,5042631.07800831,-73.562694,45.52358
188776,Vols qualifiés,2023-01-29,jour,50.0,299733.44455346,5041226.661936929,-73.564844,45.510942
188777,Introduction,2023-01-29,jour,39.0,295443.339996325,5051879.23199726,-73.619953,45.606753
188782,Méfait,2023-01-29,soir,3.0,276099.624999164,5038484.99999318,-73.867153,45.485699
188790,Vols qualifiés,2023-01-29,soir,46.0,299795.719000037,5051780.50000568,-73.564154,45.605909
188791,Vols qualifiés,2023-01-29,soir,15.0,299492.663995326,5038813.551000689,-73.567899,45.489226
189113,Vols qualifiés,2023-01-29,soir,50.0,298362.203,5042737.083,-73.582413,45.524522
189115,Introduction,2023-01-30,nuit,31.0,295112.361996003,5043057.45399491,-73.624022,45.527367
189120,Vol de véhicule à moteur,2023-01-30,jour,31.0,296673.49900584493,5045717.50600022,-73.60408,45.551323
189123,Vol dans / sur véhicule à moteur,2023-01-16,jour,48.0,299993.082,5048812.598,-73.561595,45.579205
189128,Introduction,2023-01-30,nuit,15.0,297876.915997272,5037549.136996849,-73.588552,45.477834
189130,Vol dans / sur véhicule à moteur,2023-01-30,jour,3.0,277447.187997864,5038262.50000795,-73.849902,45.483751
